Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Proficiency Level,Knowledge,Application,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6
4.1.5,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Digital data collection and management,INTERMEDIATE,Understands data management principles and mobile GIS,Designs digital data collection systems and manages field data,"Designs custom forms in Survey123, Fulcrum, or similar platforms",Implements data validation rules and logic in forms,Uses mobile GIS for field mapping and navigation,Manages data workflows from collection through analysis,Ensures data security and backup procedures,Trains field crews on digital data collection
4.1.5,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Digital data collection and management,ADVANCED,Expert in field data systems and digital workflows,Develops comprehensive field data management systems,Develops integrated field data collection and management systems,Implements automated data validation and quality control,Creates real-time dashboards displaying field data,Uses APIs to integrate multiple data systems,Implements cloud-based collaborative data platforms,Develops mobile apps for specific field needs
4.1.5,4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,Digital data collection and management,EXPERT,Shapes field data practices in environmental sector,Leads digital transformation of field operations,Directs enterprise field data strategies,Develops innovative field data approaches adopted widely,Influences field data standards and best practices,Integrates AI and automation into field data systems,Provides expert consultation on field informatics,Publishes on field data management practices
4.2.1,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Restoration techniques and implementation,FOUNDATIONAL,Understands basic restoration principles and common techniques,Implements restoration activities following plans,Plants native species using proper techniques for survival,Removes invasive species using appropriate methods,"Prepares sites for restoration (clearing, soil preparation)",Operates basic restoration tools and equipment safely,Follows erosion control and stormwater BMPs,Recognizes when conditions affect restoration success
4.2.1,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Restoration techniques and implementation,INTERMEDIATE,Applies restoration ecology principles; understands regional ecosystems,Leads restoration implementation and adapts techniques,Selects appropriate restoration techniques for site conditions,"Implements diverse restoration methods (seeding, planting, natural regeneration)","Uses specialized equipment (hydroseeders, no-till drills, trackhoes)","Sources appropriate plant materials (seeds, plugs, poles)",Implements erosion control appropriate to site conditions,Adapts restoration techniques based on monitoring results
4.2.1,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Restoration techniques and implementation,ADVANCED,Expert in restoration methods; skilled in adaptive approaches,Designs and leads complex restoration projects,Designs comprehensive restoration approaches for degraded sites,Applies novel restoration techniques for challenging conditions,"Integrates multiple treatment types (vegetation, hydrology, soil)",Uses assisted migration or climate-adapted restoration when appropriate,"Manages large-scale restoration projects (contracting, budgets, scheduling)",Evaluates restoration success using multiple metrics
4.2.1,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Restoration techniques and implementation,EXPERT,Shapes restoration practice at landscape scale,Leads transformative restoration initiatives,Directs landscape-scale restoration programs,Develops innovative restoration approaches adopted widely,Influences restoration policy and standards,Provides expert consultation on complex restoration challenges,Publishes influential restoration research,Achieves recognition for restoration excellence
4.2.2,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Invasive species control,FOUNDATIONAL,Identifies common invasive species; understands control methods,Implements invasive control treatments following protocols,Identifies priority invasive species accurately,"Uses mechanical removal methods (hand-pulling, cutting, grubbing)",Applies herbicides following label instructions and safety protocols,Disposes of invasive plant material appropriately,Uses personal protective equipment correctly,"Documents treatments (locations, methods, timing)"
4.2.2,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Invasive species control,INTERMEDIATE,Applies integrated pest management; understands invasion ecology,Designs and implements invasive species strategies,Develops site-specific invasive control strategies,"Selects appropriate control methods based on species, site, and season","Uses specialized equipment (weed wrenches, basal bark applicators)",Implements biocontrol when appropriate,Schedules treatments for optimal effectiveness,Integrates control with revegetation
4.2.2,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Invasive species control,ADVANCED,Expert in invasive species management; skilled in restoration integration,Leads comprehensive invasive species programs,Develops landscape-scale invasive management strategies,Integrates invasive control with broader restoration goals,Uses adaptive management for persistent invasive problems,"Manages invasive species programs (crews, contractors, budgets)",Evaluates new control methods and technologies,Uses predictive modeling to prioritize control efforts
4.2.2,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Invasive species control,EXPERT,Shapes invasive species management at regional scale,Leads transformative invasive species initiatives,Directs regional invasive species programs,Develops innovative control approaches adopted widely,Influences invasive species policy and regulations,Coordinates multi-organization invasive species efforts,Provides expert consultation on invasive species challenges,Publishes influential invasive species research
4.2.3,4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,Prescribed burning and fire management,FOUNDATIONAL,Understands fire behavior basics and safety protocols,Functions as prescribed fire crew member,"Completes required fire training (S-130, S-190, etc.)",Follows burn plan and crew boss directions,"Uses firing devices (drip torches, fusees) safely and effectively",Maintains fireline during burns,Monitors fire behavior and communicates observations,Uses radio communications protocols
